GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GMH001,GMH002,GMH003,GMH004,GMH005,GMH006,GMH007,GMH008,GMH009,GMH010,GMH011,GMH012,GMH013,GMH014,GMH015,GMH016,GMH017,GMH018,GMH019,GMH020,GMH021,GMH022,GMH023,GMH024,GMH025,GMH026
"G3700510","2000","US","3","5","North Carolina","37","Cumberland","051",,,,,"0",,,,,,,,,,,,,"2560","99","N","9999","9999","9",,,,,,,,,"1690527787","14867046","Cumberland County","A","+35056213","-078907247","06",,,685,6916,8246,1987,7501,4288,1355,1923,3532,5572,3579,3049,4803,112,926,5239,845,8503,1590,1256,3227,3456,19730,6142,2827,3048
"G3700530","2000","US","3","5","North Carolina","37","Currituck","053",,,,,"0",,,,,,,,,,,,,"5720","99","N","9999","9999","9",,,,,,,,,"677789254","683636764","Currituck County","A","+36398959","-075956958","06",,,209,1272,461,276,401,238,97,125,271,245,278,257,419,38,156,120,71,787,160,63,387,215,1021,489,195,277
"G3700550","2000","US","3","5","North Carolina","37","Dare","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"993460639","3050832970","Dare County","A","+35839903","-075656282","06",,,514,1915,595,346,1065,352,262,460,578,373,1079,426,681,24,232,167,78,1220,165,134,1018,545,1537,1152,342,436
"G3700570","2000","US","3","5","North Carolina","37","Davidson","057",,,,,"0",,,,,,,,,,,,,"3120","99","N","9999","9999","9",,,,,,,,,"1430059233","37861540","Davidson County","A","+35816809","-080197806","06",,,428,4639,14591,1932,4708,2905,554,1317,1736,2091,1785,1801,1242,108,415,9248,873,3841,902,607,2486,2075,9658,2151,1321,736
"G3700590","2000","US","3","5","North Carolina","37","Davie","059",,,,,"0",,,,,,,,,,,,,"3120","99","N","9999","9999","9",,,,,,,,,"686825165","4408857","Davie County","A","+35929864","-080542525","06",,,231,1221,3031,368,957,621,142,338,599,558,313,466,302,23,169,1671,108,912,248,134,599,416,2640,394,336,150
"G3700610","2000","US","3","5","North Carolina","37","Duplin","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2117904936","3579760","Duplin County","A","+34924123","-077988007","06",,,2315,2026,2722,561,968,719,59,199,394,588,375,639,442,721,144,2011,230,1041,110,103,297,531,2934,695,338,480
"G3700630","2000","US","3","5","North Carolina","37","Durham","063",,,,,"0",,,,,,,,,,,,,"6640","99","N","9999","9999","9",,,,,,,,,"751918788","19359145","Durham County","A","+35998343","-078900356","06",,,179,7206,7571,1566,5137,3065,2384,2629,7802,11770,4113,2585,2483,154,611,4406,547,4381,875,2180,3804,6395,24168,3703,2361,2300
"G3700650","2000","US","3","5","North Carolina","37","Edgecombe","065",,,,,"0",,,,,,,,,,,,,"6895","99","N","9999","9999","9",,,,,,,,,"1308011201","4024816","Edgecombe County","A","+35916244","-077640306","06",,,593,1772,3326,432,1032,762,290,226,567,730,484,530,612,60,166,2597,291,1460,235,493,551,553,3066,920,457,515
"G3700670","2000","US","3","5","North Carolina","37","Forsyth","067",,,,,"0",,,,,,,,,,,,,"3120","99","N","9999","9999","9",,,,,,,,,"1060846418","8606869","Forsyth County","A","+36114200","-080244596","06",,,408,8469,16437,3303,8636,5328,1815,5148,7253,8675,5387,3902,2703,102,933,8972,1410,7917,2620,1306,7718,6232,25523,5504,3526,1604
"G3700690","2000","US","3","5","North Carolina","37","Franklin","069",,,,,"0",,,,,,,,,,,,,"6640","99","N","9999","9999","9",,,,,,,,,"1274332932","6644575","Franklin County","A","+36053507","-078308430","06",,,403,2620,2494,583,1363,822,346,285,936,596,414,699,574,80,259,1925,260,1249,206,283,647,620,3105,689,526,742
"G3700710","2000","US","3","5","North Carolina","37","Gaston","071",,,,,"0",,,,,,,,,,,,,"1520","99","N","9999","9999","9",,,,,,,,,"922591283","18979569","Gaston County","A","+35284549","-081166447","06",,,268,6105,16431,2612,4988,5060,637,1710,2745,2341,1979,2470,1726,77,742,9325,1291,5060,1522,925,3508,2575,11415,2727,1875,1240
"G3700730","2000","US","3","5","North Carolina","37","Gates","073",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"882169187","12937575","Gates County","A","+36449917","-076743002","06",,,225,353,688,66,182,205,47,33,96,105,57,85,62,38,24,264,49,278,66,8,153,120,752,154,108,112
